stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,138761,2136640,19.09,222,408356,14.39,55,17.38
00401A,17270,219895,19.83,26,43669,16.82,15,22.77
00402A,49320,727627,18.57,106,135290,11.28,18,20.96
00403A,1031121,18144519,17.29,2092,3139991,11.66,398,15.85
00404A,23646,368795,24.91,33,91977,21.92,14,20.28
00405A,164143,3749745,23.66,506,887624,17.36,116,12.08
00406A,71173,1738562,20.3,350,353182,10.4,64,11.4
00407A,159041,3140739,21.86,445,687195,14.84,90,14.31
00408A,8760,167134,31.42,37,52547,20.72,10,15.75
00410A,5059,210860,58.36,35,123099,51.01,10,7.71
0050,3544519,22457500,26.51,920,5956817,24.88,274,26.43
0051,13300,24500,12.71,5,3116,0,0,56.32
0052,470526,2681500,20.64,166,553914,18.4,68,35.42
0053,6406,5488,19.13,1,1050,19.13,1,50.82
0055,13285,86154,45.33,19,39076,37.87,7,26.39
0056,1659531,14330034,12.08,720,1733748,9.82,157,25.57
0057,3439,1527,0,0,0,0,0,33.08
0061,6075,96616,33.18,23,32069,22.99,6,15.57
006201,3575,23946,49.12,8,11767,35.9,3,27.53
006203,2817,10218,73.2,4,7481,52.61,1,9.77
006204,1164,1500,0,0,0,0,0,46.14
006205,8947,94939,45.65,28,43353,32.79,7,17.64
006206,3158,27278,20.98,4,5725,14.77,2,24.94
006207,1583,20892,15.05,5,3148,0,0,16.9
006208,712157,1860040,10.43,61,194345,9.77,40,51.98
00631L,344619,7958848,29.4,1564,2341691,20.24,332,9.82
00632R,61421,2439208,48.8,724,1190771,35.22,190,5.02
00633L,3599,118958,35.93,41,42746,20.58,12,6.69
00634R,782,47256,57.43,17,27150,40.07,6,3.62
00635U,57218,309514,20.92,32,64847,17.96,16,32.99
00636,8283,95825,21.98,20,21071,14.03,6,19.81
00637L,11523,743106,57.7,274,428927,42.8,93,3.51
00638R,515,24448,53.71,8,13136,39.01,2,4.85
00639,5731,96403,25.41,22,24509,14.87,7,13.39
00640L,1245,6419,19.72,2,1266,0,0,28.05
00641R,1316,80758,52.71,32,42585,38.83,14,3.39
00642U,10162,90821,39.01,15,35456,33.29,7,22.24
00643,3203,72503,39.71,20,28809,26.05,5,11.58
00645,9877,42997,23.65,10,10178,11.99,2,36.76
00646,108741,586485,42.3,73,248251,37.45,28,25.21
00647L,1472,6416,30.14,1,1934,30.14,1,27.06
00648R,2413,142188,46.01,38,65448,35.84,14,3.6
00650L,2176,101838,51.52,37,52483,42.99,21,4.48
00651R,412,32192,68.65,16,22105,50.61,7,2.89
00652,9452,62535,31.09,14,19452,25.29,7,28.24
00653L,1229,13403,14.18,2,1901,9.66,1,19.7
00654R,379,19466,53.06,9,10331,35.77,3,4.34
00655L,2164,57958,30.34,19,17593,15.87,5,8.47
00656R,319,20357,73.17,13,14900,45.22,4,3.13
00657,1654,6584,22.13,2,1458,0,0,37.51
00660,1029,7531,33.43,4,2518,13.42,1,17.0
00661,7290,23425,16.69,5,3912,6.73,1,42.69
00662,107701,894529,38.17,95,341514,34.28,32,15.39
00663L,17070,173663,26.23,23,45585,22.7,13,20.22
00664R,7539,715575,56.43,351,403985,35.79,115,2.07
00665L,4935,412965,59.16,156,244402,44.88,61,2.34
00666R,137,14624,80.91,7,11833,75.51,6,1.6
00668,1986,7483,23.34,2,1747,16.98,1,31.87
00669R,3218,205117,45.94,66,94275,34.08,25,3.4
