stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,139946,2070640,15.4,215,319402,10.78,55,18.15
00401A,17130,230395,24.82,27,57240,21.79,15,21.58
00402A,50588,745127,18.5,109,138008,11.07,18,21.02
00403A,1044332,17864019,14.71,2167,2633614,8.76,398,16.31
00404A,23960,364295,22.5,34,82030,19.32,14,20.79
00405A,165878,3492245,16.66,495,582534,10.07,114,13.08
00406A,71209,1704562,19.38,358,330849,9.23,68,11.54
00407A,163511,3181739,19.69,461,626939,12.46,90,14.47
00408A,9091,170134,27.66,39,47099,16.44,11,16.15
00410A,6903,282360,24.74,53,69900,14.99,10,7.4
0050,3563245,22298000,25.43,914,5673620,23.8,273,26.92
0051,13641,24500,11.0,4,2697,0,0,56.55
0052,475218,2655000,18.86,162,501147,16.69,67,36.22
0053,6642,5488,19.18,1,1053,19.18,1,51.5
0055,12190,89654,47.37,19,42483,40.22,7,25.46
0056,1664447,14301534,11.81,710,1691615,9.56,152,25.75
0057,3606,1527,0,0,0,0,0,33.7
0061,6112,96616,32.99,23,31894,21.8,5,15.69
006201,3502,21946,46.91,6,10298,33.74,2,29.46
006203,3349,10218,73.18,4,7480,52.5,1,10.01
006204,1173,1500,0,0,0,0,0,46.69
006205,8980,94939,45.33,28,43053,32.35,7,17.73
006206,3181,27278,20.52,4,5600,10.96,1,25.04
006207,1586,20892,14.82,5,3100,0,0,17.01
006208,712992,1856540,10.35,59,192316,9.66,38,52.09
00631L,358002,7826348,26.81,1538,2099567,17.68,335,10.52
00632R,57082,2125708,46.22,630,982894,32.95,171,5.19
00633L,3627,118458,34.74,39,41187,20.92,12,6.81
00634R,785,47256,57.31,17,27097,40.01,6,3.65
00635U,57525,303514,18.88,29,57368,15.95,15,33.87
00636,8283,96325,21.93,20,21151,14.04,6,19.7
00637L,11637,732606,56.65,279,415137,40.94,91,3.59
00638R,524,24448,53.97,8,13199,39.27,2,4.92
00639,5755,97403,25.52,23,24877,14.68,7,13.29
00640L,1260,6919,30.03,3,2078,0,0,26.81
00641R,1333,80758,51.25,33,41410,37.71,15,3.4
00642U,9589,89821,42.15,16,37876,36.34,8,21.02
00643,3215,73003,39.82,21,29082,25.12,5,11.54
00645,9911,43497,24.46,10,10644,14.77,3,36.26
00646,108649,569485,40.25,70,229261,35.41,26,26.02
00647L,1498,6416,29.37,1,1885,29.37,1,26.97
00648R,2404,142188,46.72,41,66461,34.68,13,3.53
00650L,2267,107838,52.77,38,56931,44.25,21,4.42
00651R,414,32192,66.15,15,21301,47.15,6,2.89
00652,9547,64535,33.08,15,21353,25.17,6,27.63
00653L,1267,14403,14.17,2,2043,9.81,1,18.74
00654R,380,19466,53.02,9,10323,32.09,2,4.29
00655L,2179,57958,29.92,20,17357,12.71,4,8.4
00656R,318,20357,73.32,13,14929,45.37,4,3.12
00657,1660,6584,22.05,2,1453,15.39,1,37.56
00660,1050,7531,32.89,4,2477,0,0,17.24
00661,7302,23425,16.93,5,3970,6.62,1,42.61
00662,108325,872029,36.63,93,319548,32.56,29,15.84
00663L,17970,172663,22.1,26,38208,17.78,13,21.59
