stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,136469,1912140,15.03,216,287600,9.79,47,18.59
00401A,18115,261895,25.18,34,65977,21.73,19,19.42
00402A,46277,698627,20.75,98,145099,13.54,17,20.39
00403A,912433,14966519,15.25,1678,2284035,9.76,321,17.1
00404A,30162,447795,14.42,48,64619,10.22,15,21.02
00405A,149183,3084745,17.85,423,551110,11.49,102,13.45
00406A,177069,4444562,22.15,1087,985195,10.04,190,10.64
00407A,132102,2564739,23.64,364,606780,16.8,74,14.56
00408A,8286,146634,30.15,34,44234,18.94,9,16.6
00409A,50882,1796448,38.22,478,686890,25.25,120,8.12
00410A,10094,156860,29.67,30,46591,22.61,12,17.7
00411A,21353,560576,29.0,106,162699,19.77,24,11.42
0050,3560731,22054500,25.46,912,5617371,23.82,270,26.7
0051,12743,25000,13.69,5,3425,0.0,0,55.08
0052,456022,2550500,20.1,161,513016,17.96,69,35.84
0053,7311,10488,49.94,3,5239,45.36,2,30.5
0055,16319,85654,39.95,17,34225,31.07,3,28.69
0056,1656819,14058034,11.48,728,1615002,9.14,157,25.73
0057,3649,1527,0.0,0,0,0.0,0,37.9
0061,6003,96116,33.14,22,31877,22.64,5,15.44
006201,5377,22946,48.64,8,11162,37.89,3,28.04
006203,3886,10218,74.49,5,7613,59.82,3,10.41
006204,1151,1500,0.0,0,0,0.0,0,45.44
006205,8810,93439,45.69,26,42705,32.99,7,17.74
006206,3083,26778,21.31,4,5709,11.18,1,24.59
006207,1610,20892,11.45,4,2395,0.0,0,16.66
006208,715428,1860540,10.24,57,190818,9.72,40,52.04
00631L,307710,7152348,29.29,1508,2096095,19.32,302,9.45
00632R,64205,2631208,45.04,845,1185540,30.68,226,4.83
00633L,3659,120958,34.8,39,42106,20.25,11,6.92
00634R,756,42756,54.65,14,23376,43.31,7,3.93
00635U,57502,309014,19.15,33,59265,15.43,15,33.24
00636,8186,93825,21.78,19,20452,14.56,6,19.95
00637L,11927,762106,57.08,281,435276,42.26,94,3.55
00638R,499,22948,52.84,8,12130,37.14,2,4.98
00639,5695,95903,24.85,20,23841,15.65,7,13.52
00640L,1296,6419,28.3,3,1817,0.0,0,28.4
00641R,1291,90258,58.29,32,52627,46.68,15,2.99
