stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,133512,1900640,16.01,209,304776,11.05,49,18.42
00401A,17364,224895,19.72,30,44368,15.95,16,22.04
00402A,47445,710127,20.27,103,144136,12.76,17,20.63
00403A,935765,15588519,15.93,1762,2487244,10.4,329,16.81
00404A,23694,343295,18.68,35,64189,14.93,13,21.75
00405A,152398,3185745,18.49,452,589905,11.77,100,13.29
00406A,135240,3474062,21.57,793,749931,10.18,143,10.5
00407A,134475,2632739,24.42,363,643201,17.82,74,14.42
00408A,8362,147634,30.62,37,45231,18.31,9,16.68
00409A,47460,1827448,39.13,495,715456,25.87,124,7.59
00410A,7768,156360,36.17,29,56585,29.59,13,14.27
00411A,22501,654576,31.63,109,207128,23.58,26,10.44
0050,3537377,22325000,26.48,917,5915628,24.84,268,26.28
0051,12607,24500,12.83,5,3145,0,0,56.0
0052,458312,2568000,19.92,163,512140,17.73,69,35.87
0053,6617,9988,55.62,5,5556,41.57,2,29.17
0055,14603,84654,43.32,17,36684,35.07,4,27.29
0056,1651203,14068534,11.54,720,1626755,9.22,153,25.69
0057,3625,1527,0,0,0,0,0,36.39
0061,6042,96116,32.9,22,31637,22.32,5,15.47
006201,5608,22946,46.64,7,10709,32.68,2,28.69
006203,3806,10218,74.49,5,7613,59.82,3,10.26
006204,1148,1500,0,0,0,0,0,46.22
006205,8839,93439,45.35,26,42397,32.89,7,17.77
006206,3098,26778,20.85,4,5587,11.23,1,24.78
006207,1608,20892,14.22,5,2975,0,0,16.7
006208,713654,1860540,10.2,58,190083,9.62,39,52.02
00631L,314938,7297848,29.19,1505,2132092,19.47,308,9.54
00632R,65277,2757208,47.01,853,1296860,32.99,226,4.7
00633L,3615,117458,33.95,37,39901,20.79,12,7.03
00634R,767,42756,53.54,14,22903,42.19,7,3.95
00635U,57152,308514,20.17,32,62327,16.83,16,32.89
00636,8227,93825,21.09,19,19800,13.91,6,19.99
00637L,11784,745106,56.96,277,424567,41.78,92,3.61
00638R,510,22948,52.63,8,12084,36.98,2,5.23
00639,5711,95903,25.49,22,24456,14.86,7,13.45
00640L,1240,6419,28.18,3,1810,0,0,26.98
00641R,1310,91258,57.79,33,52750,45.1,15,3.02
00642U,7957,67321,42.48,13,28614,34.64,5,21.54
00643,3183,72503,40.35,21,29270,25.52,5,11.45
00645,9785,42997,23.98,10,10319,11.98,2,36.45
00646,112575,614985,43.0,72,264604,38.98,31,24.98
00647L,1521,6416,30.47,1,1955,30.47,1,28.54
00648R,2392,142688,46.54,39,66435,35.64,13,3.47
00650L,2156,96338,50.4,39,48588,38.37,19,4.69
00651R,392,32192,69.81,16,22479,51.93,7,2.47
00652,9354,61035,31.03,15,18946,21.84,5,28.87
00653L,1233,12903,13.33,1,1720,13.33,1,19.65
00654R,374,19466,55.03,9,10716,37.74,3,4.33
00655L,2194,57958,29.22,20,16942,15.02,5,8.42
00656R,316,20357,74.71,14,15212,44.86,4,3.23
00657,1657,6084,10.07,1,613,0,0,40.56
00660,1042,7031,27.26,3,1917,0,0,18.9
00661,7239,23425,17.37,5,4073,6.68,1,42.59
00662,109435,910529,37.27,95,339524,33.4,31,15.51
00663L,14734,150163,28.1,21,42220,23.93,12,19.73
00664R,9939,884575,58.85,398,520747,39.46,124,2.52
00665L,4889,403965,58.25,150,235380,43.96,59,2.38
00666R,130,12124,80.98,7,9821,68.09,5,1.75
00668,2018,7483,32.48,2,2431,32.48,2,32.62
00669R,3157,205117,46.33,63,95073,34.97,24,3.32
00670L,12487,77145,13.07,9,10097,8.23,3,27.7
00671R,3548,520884,69.64,206,362873,53.35,70,1.24
00673R,13225,777051,45.51,235,353853,32.4,73,3.5
00674R,1323,14421,45.46,4,6557,40.22,3,17.6
00675L,19175,109786,20.87,12,22927,16.32,5,30.42
00676R,4385,195834,46.0,74,90114,29.58,22,4.22
00678,1855,8448,17.73,3,1498,0,0,29.4
00679B,234567,6242692,42.74,691,2669550,37.6,148,8.99
00680L,19274,1458076,53.88,512,785905,38.91,156,2.76
00681R,98,7594,91.68,6,6963,84.9,5,1.48
00682U,259,7644,77.88,4,5954,52.28,2,3.69
00683L,323,11434,67.39,6,7706,59.25,4,4.79
00684R,169,9688,81.2,6,7867,73.73,5,3.2
00685L,195726,5782336,31.43,1524,1819345,18.87,311,8.43
00686R,2104,263776,67.53,115,178148,48.92,39,1.56
00687B,153029,4267380,42.74,554,1824844,36.9,139,8.66
00688L,9183,625115,49.89,211,312002,35.75,71,3.07
00689R,51,6889,87.38,5,6020,73.97,3,0.41
00690,17536,83830,12.73,13,10693,6.29,4,36.17
00692,91694,613780,16.65,34,102358,14.8,17,33.27
00693U,3105,71666,40.47,19,29010,34.44,11,9.93
00694B,1988,27576,63.86,8,17614,53.79,4,12.47
00695B,2233,40186,75.14,9,30200,68.89,5,10.08
00696B,10905,618681,83.5,28,516688,82.46,18,4.04
