stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,133489,1967640,18.63,209,366956,13.81,51,17.97
00401A,17774,238895,24.38,29,58315,21.73,18,21.4
00402A,47113,680127,17.45,102,118782,9.78,16,21.4
00403A,984601,16973519,17.49,1885,2972440,12.05,356,16.22
00404A,23075,350295,23.74,33,83217,20.56,14,20.82
00405A,159071,3476245,21.43,470,745675,15.02,104,12.66
00406A,88536,2153562,21.24,488,457700,9.98,82,11.29
00407A,145270,2831239,23.52,398,666432,16.74,84,14.49
00408A,8525,153634,31.0,36,47652,19.94,10,16.5
00410A,6251,141360,40.8,25,57693,33.19,7,13.49
0050,3549920,22327000,26.19,924,5852226,24.53,270,26.46
0051,12805,24500,11.02,4,2704,0,0,56.15
0052,464077,2628500,20.63,161,542919,18.52,69,35.56
0053,6288,5488,19.16,1,1052,19.16,1,49.14
0055,13224,86154,45.13,18,38906,37.71,6,26.49
0056,1657837,14179534,11.61,716,1648337,9.33,154,25.67
0057,3581,1527,0,0,0,0,0,34.04
0061,6057,96116,32.85,22,31601,22.4,5,15.52
006201,4698,22946,46.62,7,10704,32.33,2,28.43
006203,3556,10218,78.32,6,8004,59.39,3,10.03
006204,1151,1500,0,0,0,0,0,45.88
006205,8871,93939,45.24,26,42511,33.27,7,17.7
006206,3134,26778,19.69,4,5274,11.2,1,25.17
006207,1592,20892,14.85,5,3108,0,0,16.78
006208,713554,1860040,10.15,58,189114,9.57,39,52.08
00631L,329983,7546348,29.23,1506,2207188,19.83,311,9.81
00632R,64483,2798708,50.11,816,1403036,36.91,215,4.62
00633L,3606,115458,33.15,36,38305,20.26,12,6.99
00634R,773,44756,55.73,15,24949,40.48,6,3.77
00635U,56185,346514,31.39,33,108841,28.43,16,28.7
00636,8255,94325,21.17,20,19997,13.45,6,20.01
00637L,11739,730106,56.43,277,412147,41.23,94,3.69
00638R,517,22948,51.09,8,11730,35.44,2,5.2
00639,5714,95903,25.21,23,24190,14.16,7,13.43
00640L,1262,6419,24.13,3,1549,0,0,27.48
00641R,1307,92258,58.99,35,54433,46.52,16,2.97
00642U,9017,83821,43.28,15,36286,37.1,7,20.71
00643,3190,72503,40.04,21,29043,25.35,5,11.5
