stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,136735,1886640,15.65,195,295738,11.04,50,19.67
00401A,17536,240895,26.63,26,64181,23.79,14,21.2
00402A,51369,747127,17.82,109,133278,10.6,19,21.32
00403A,997455,15783519,16.04,1762,2535310,10.51,332,18.05
00404A,23952,353295,23.71,34,83863,20.11,12,21.55
00405A,157782,3114245,17.47,426,545164,10.88,95,14.35
00406A,44543,874062,20.08,131,175634,13.2,27,15.42
00407A,160986,2885739,18.55,403,535783,11.83,85,16.1
00408A,7354,176634,38.52,39,68066,28.81,14,13.25
0050,3357248,21072000,27.59,873,5817371,25.91,249,26.23
0051,13680,24500,13.77,5,3376,0,0,55.88
0052,469381,2581500,19.3,159,498548,17.08,66,36.52
0053,6364,5488,19.04,1,1045,19.04,1,48.14
0055,12254,90154,46.43,18,41872,38.61,5,25.73
0056,1620840,13927534,11.97,700,1669934,9.68,148,25.77
0057,3092,1527,0,0,0,0,0,29.24
0061,6157,97616,33.26,23,32484,23.23,6,15.63
006201,3349,20446,47.74,6,9764,35.93,2,29.56
006203,1178,10218,80.98,6,8278,51.02,1,8.82
006204,1145,1500,0,0,0,0,0,45.57
006205,9027,95939,45.72,28,43885,33.08,7,17.71
006206,3217,27278,19.51,4,5323,11.06,1,25.44
006207,1575,20892,16.37,5,3424,5.62,1,17.02
006208,709379,1833040,10.01,58,184072,9.29,36,52.31
00631L,322905,6926348,29.98,1362,2078706,20.98,308,10.51
00632R,60498,2332708,44.09,763,1028985,29.07,203,5.01
00633L,3611,116458,33.85,38,39442,20.67,13,6.86
00634R,788,47256,54.33,16,25686,38.53,6,3.56
00635U,58211,304514,18.53,30,56507,15.48,15,33.97
00636,8322,98325,22.83,21,22475,14.94,7,19.6
00637L,11673,740106,57.03,275,422204,41.64,90,3.55
00638R,532,24448,51.99,9,12717,34.99,2,5.12
00639,5766,98403,26.92,26,26516,15.62,8,13.31
00640L,1314,6919,23.37,2,1617,16.65,1,27.25
00641R,1334,79758,51.2,31,40851,37.48,14,3.48
00642U,11136,104821,37.08,15,38885,32.28,7,21.79
00643,3219,72503,38.24,19,27735,25.03,5,11.61
00645,10030,43997,25.01,10,11011,15.55,3,36.45
00646,108152,567485,40.1,63,227673,35.69,24,25.94
00647L,1542,6416,27.45,1,1761,27.45,1,28.39
00648R,2426,140688,44.06,38,62028,32.37,12,3.61
00650L,2570,129338,50.36,49,65163,37.51,20,4.22
00651R,414,32192,68.83,16,22163,48.47,6,3.0
00652,9731,65035,31.16,14,20277,25.89,7,28.04
00653L,1326,15403,18.62,3,2871,10.77,1,18.57
00654R,384,19466,53.47,9,10411,33.89,2,4.53
00655L,2201,57958,29.29,20,16984,13.79,4,8.61
00656R,326,20357,72.83,12,14831,47.82,4,3.18
00657,1670,6584,21.38,2,1408,0,0,37.54
00660,1050,7531,32.62,4,2457,0,0,17.55
00661,7322,23425,17.78,5,4169,7.07,1,42.2
00662,106156,865029,37.77,88,327002,34.05,29,15.51
00663L,16551,148163,21.86,20,32418,18.2,11,22.21
00664R,6726,770575,59.35,358,457522,39.87,120,1.56
00665L,5506,518965,62.01,178,321936,48.75,67,2.03
00666R,124,14624,84.73,6,12391,84.73,6,1.34
00668,2011,7483,30.92,3,2315,15.46,1,32.8
00669R,3216,205117,45.95,64,94302,34.51,25,3.37
00670L,12340,74145,11.73,9,8707,5.84,2,27.94
00671R,3687,540384,68.96,217,372800,51.71,71,1.23
00673R,9273,480551,45.45,167,218541,30.53,51,3.97
00674R,1421,15421,41.71,4,6432,41.71,4,18.3
00675L,20138,112786,17.75,11,20051,13.49,4,31.24
00676R,4222,172834,41.71,63,72110,26.3,22,4.69
00678,1823,8448,16.66,3,1408,0,0,28.62
00679B,239635,6525192,43.85,688,2862899,38.96,151,8.77
00680L,19955,1508576,53.25,535,803612,38.02,159,2.73
00681R,101,7594,90.32,4,6860,80.98,3,1.79
00682U,271,7644,77.47,4,5922,51.67,2,4.08
00683L,342,11434,63.96,6,7315,51.47,3,5.46
00684R,184,9688,80.21,6,7773,63.07,4,3.57
00685L,190304,5038836,33.76,1206,1702000,22.49,262,9.71
00686R,1800,191776,60.67,83,116385,42.49,30,1.84
00687B,159265,4707135,45.31,573,2134218,39.84,138,8.17
00688L,9629,641115,47.57,220,305124,32.98,71,3.11
00689R,53,6889,89.75,5,6184,64.58,2,0.45
00690,17476,80830,10.52,10,8525,4.92,3,37.09
00692,92370,614780,17.04,33,104826,15.15,16,33.38
00693U,3512,85166,41.27,27,35166,32.16,13,9.41
00694B,1992,39576,74.21,8,29372,70.66,6,8.81
00695B,2287,39686,73.96,8,29359,70.19,6,10.59
00696B,11233,618681,82.8,28,512368,81.62,17,4.21
00697B,6608,64212,22.94,12,14736,19.46,8,22.19
00700,2725,34983,12.29,5,4303,7.36,2,17.55
00701,38387,173391,8.69,13,15081,6.59,6,50.1
00702,1169,6688,49.23,5,3293,15.25,1,26.49
00703,1060,9550,22.31,3,2133,0,0,23.72
00706L,6929,156271,30.82,41,48205,19.61,12,9.37
00708L,16282,126573,22.08,25,27987,13.64,7,25.44
00709,2422,15460,36.87,9,5703,7.76,1,23.95
00710B,3705,180761,82.01,9,148264,80.78,5,4.81
