stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,132509,1902140,17.76,205,338078,12.81,45,18.08
00401A,17893,261895,26.72,32,70042,23.59,18,19.19
00402A,42171,674627,27.25,87,183959,20.93,17,19.23
00403A,844857,14583019,21.09,1503,3079451,16.1,295,16.28
00404A,28966,435795,17.75,46,77439,13.66,15,20.8
00405A,135920,2987245,24.81,376,741370,18.94,92,12.7
00406A,182915,4968062,24.3,1121,1208489,13.24,207,9.9
00407A,119571,2472739,29.66,317,733779,23.52,68,13.65
00408A,8067,146134,32.13,31,46990,22.23,9,16.14
00409A,46395,1729948,46.01,442,796336,33.74,113,7.81
00410A,9590,156860,34.51,27,54174,28.63,12,16.7
00411A,18415,473576,38.62,77,183004,31.53,23,11.72
0050,3539949,22051000,25.91,914,5718470,24.27,271,26.5
0051,12653,25000,13.84,5,3464,0.0,0,55.02
0052,451795,2547000,20.85,162,531305,18.71,72,35.49
0053,7159,10488,50.21,3,5268,45.33,2,30.65
0055,17218,87154,38.58,16,33640,30.71,3,29.19
0056,1661306,14074034,11.41,733,1608607,9.06,158,25.78
0057,3498,1527,0.0,0,0,0.0,0,38.22
0061,5979,96116,33.27,22,31998,22.85,5,15.34
006201,5217,22946,49.24,8,11302,37.24,3,27.65
006203,3587,10218,74.49,5,7613,50.97,2,9.95
006204,1145,1500,0.0,0,0,0.0,0,46.15
006205,8804,93439,45.81,26,42817,33.18,7,17.66
006206,3078,26778,21.34,4,5719,14.92,2,24.59
006207,1603,20892,13.42,5,2806,0.0,0,16.52
006208,712360,1860540,10.18,57,189875,9.67,40,51.93
00631L,284072,6961848,31.48,1462,2193231,21.59,302,8.82
00632R,66893,2715208,44.23,861,1201389,30.05,232,4.91
00633L,3618,121458,35.83,40,43539,20.48,11,6.75
00634R,761,42756,54.52,14,23323,43.18,7,3.98
00635U,57406,311514,19.87,32,61960,16.32,15,32.98
