stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,135729,1773140,13.16,188,233845,8.36,45,20.88
00401A,17685,240895,26.06,25,62793,23.34,14,21.47
00402A,53436,777127,17.51,115,136250,10.19,20,21.39
00403A,994018,15500019,15.89,1742,2466141,10.38,343,18.37
00404A,23866,335795,20.81,31,69941,17.32,11,22.65
00405A,150815,2821745,13.78,402,389261,6.95,89,15.34
00406A,40799,745062,13.43,107,100152,6.51,20,16.98
00407A,157843,2553239,15.86,366,405544,8.72,72,18.1
0050,3311850,20870000,27.79,870,5802876,26.08,246,26.15
0051,13725,24500,14.06,5,3447,0,0,55.8
0052,468426,2572000,19.17,155,493708,17.05,66,36.57
0053,6038,5488,18.93,1,1039,18.93,1,46.61
0055,12216,90154,46.2,18,41665,38.5,5,25.6
0056,1603515,13770534,11.99,691,1654611,9.72,148,25.8
0057,2870,1527,0,0,0,0,0,27.76
0061,6189,97616,32.6,22,31841,21.99,5,15.66
006201,3358,20446,49.21,7,10064,35.57,2,29.62
006203,1180,10218,77.01,5,7871,48.19,1,9.05
006204,1133,1500,0,0,0,0,0,45.09
006205,9033,95939,45.7,28,43861,33.49,8,17.71
006206,3253,27778,19.65,4,5463,10.84,1,25.22
006207,1590,20892,17.63,7,3685,0,0,17.25
006208,703621,1829540,10.49,59,192185,9.75,37,52.1
00631L,317522,6541848,28.28,1357,1850909,18.81,304,10.87
00632R,61592,2419208,45.06,778,1090381,30.39,208,4.97
00633L,3670,118958,33.94,40,40399,20.34,13,6.97
00634R,787,47256,54.98,13,25997,44.26,6,3.59
00635U,58332,303514,18.6,28,56513,15.53,14,34.05
00636,8375,98825,22.55,20,22300,15.29,7,19.53
00637L,11785,765106,57.58,280,440730,42.38,93,3.47
00638R,534,24448,52.14,10,12753,33.36,2,5.15
00639,5785,98403,27.1,27,26690,15.64,9,13.36
00640L,1324,7419,29.2,3,2168,16.31,1,25.41
00641R,1334,76758,49.87,31,38301,36.72,14,3.59
00642U,11315,105321,36.63,16,38590,31.42,7,22.49
00643,3240,72503,37.77,19,27395,24.74,5,11.67
00645,10038,43997,24.57,10,10817,14.88,3,36.78
00646,107612,562485,39.83,62,224222,35.67,25,26.04
00647L,1587,6416,26.7,1,1713,26.7,1,28.66
00648R,2409,140688,45.14,39,63543,32.99,12,3.58
00650L,2716,137838,50.17,57,69170,34.89,22,4.25
00651R,399,32192,70.63,16,22742,49.83,6,2.77
00652,9793,66035,32.23,15,21292,27.04,8,27.76
00653L,1334,15403,17.65,3,2720,10.25,1,18.42
00654R,383,19466,51.14,8,9957,33.85,2,4.4
00655L,2228,58458,29.48,21,17235,12.95,4,8.51
00656R,329,20357,72.66,12,14796,47.65,4,3.3
00657,1671,6584,19.06,1,1255,19.06,1,37.64
00660,1062,7531,32.21,4,2426,0,0,17.67
00661,7303,23425,18.0,5,4221,5.48,1,42.17
00662,105752,863529,37.76,85,326188,34.08,28,15.54
00663L,16552,145663,22.92,21,33419,18.09,10,22.44
00664R,6818,785575,59.75,369,469545,40.83,130,1.56
00665L,5958,564465,61.78,201,348911,48.0,77,2.03
00666R,116,14624,83.59,5,12225,83.59,5,1.37
00668,2008,7483,25.29,2,1893,15.79,1,32.72
00669R,3221,205117,45.73,63,93850,34.49,25,3.37
00670L,12365,74145,11.92,9,8852,4.71,1,28.03
00671R,3684,540384,69.05,215,373216,52.01,70,1.22
00673R,8930,476551,46.09,162,219746,31.07,48,3.79
00674R,1462,15421,39.29,4,6060,39.29,4,18.84
00675L,19920,107286,18.72,12,20103,13.83,4,31.69
00676R,4216,172834,41.34,59,71493,25.59,19,4.67
00678,1861,8448,22.06,4,1864,0,0,29.62
00679B,240337,6602692,44.31,690,2927197,39.48,153,8.71
00680L,19945,1505076,53.34,534,802939,38.03,158,2.74
00681R,103,7594,91.31,5,6936,75.76,3,1.83
00682U,272,7644,76.98,4,5885,51.67,2,4.08
00683L,343,11434,65.07,6,7441,52.59,3,5.23
00684R,184,9688,80.21,6,7773,63.17,4,3.57
00685L,164360,3972836,29.46,1129,1171171,16.09,248,10.47
00686R,1818,191776,60.5,84,116063,41.21,27,1.94
00687B,159961,4860635,46.78,578,2274710,41.43,140,7.95
00688L,9636,639615,47.61,221,304700,32.64,69,3.12
00689R,57,6889,87.66,5,6040,62.49,2,0.54
00690,14056,80830,12.08,12,9781,4.98,3,36.25
00692,90954,614280,17.52,33,107647,15.61,16,33.35
00693U,3657,86166,39.26,26,33852,29.7,12,9.79
00694B,1997,39576,75.39,9,29841,70.77,6,8.84
00695B,2281,39686,74.7,9,29650,69.6,6,10.52
00696B,11169,659181,84.1,29,554459,82.92,17,3.88
00697B,6615,64712,23.74,13,15373,18.03,7,22.04
00700,2748,34983,11.32,5,3964,4.31,1,17.54
00701,38423,173891,8.9,13,15510,6.59,6,49.96
00702,1174,6688,49.51,5,3312,15.25,1,26.11
00703,1071,9550,21.35,3,2039,0,0,24.37
00706L,7003,157771,30.27,40,47789,19.38,12,9.39
00708L,16289,124073,21.01,24,26088,12.53,7,25.79
00709,2435,15460,36.85,9,5700,7.45,1,24.12
00710B,3718,180761,82.21,10,148615,80.78,5,4.83
00711B,799,872261,99.35,5,866677,99.29,4,0.16
00712,138281,5259511,32.49,1196,1710306,21.35,207,5.9
00713,274178,1742012,23.41,79,408212,22.29,49,31.85
00714,2530,21067,44.08,11,9290,18.15,3,23.84
00715L,8372,127192,36.13,22,45974,32.0,14,14.02
00717,7780,126605,29.83,32,37803,19.87,10,15.46
00719B,14291,551014,61.02,56,336353,56.53,16,6.05
00720B,80087,4033109,65.0,313,2622558,61.56,76,4.65
00722B,13804,1457739,89.82,42,1309408,89.21,27,2.5
00723B,457,1520583,99.77,15,1517384,99.68,12,0.05
00724B,6352,3026775,97.61,34,2954949,97.41,23,0.52
00725B,42240,3749206,82.14,164,3080172,80.46,60,2.75
00726B,1780,1193989,97.96,21,1169886,97.64,14,0.33
00727B,711,56689,89.83,5,50925,88.95,4,2.77
00728,9577,38923,3.22,2,1255,0,0,50.21
00730,13422,71044,17.86,10,12699,13.86,5,40.84
00731,8542,22100,19.9,5,4405,11.08,2,55.58
00733,21359,66466,17.59,9,11698,14.42,5,51.72
00734B,534,25979,85.03,3,22092,82.63,2,4.64
00735,32215,107789,16.22,15,17496,11.67,6,41.48
00736,516,6227,69.16,5,4307,46.04,2,9.81
00737,5559,22538,12.46,4,2812,4.88,1,45.45
00738U,34664,246799,18.06,37,44641,12.41,14,27.61
00739,1996,25988,39.17,10,10181,18.71,2,17.26
00740B,6052,2163971,96.81,46,2095262,96.27,28,0.6
00741B,1193,13628,46.35,2,6317,46.35,2,18.15
00746B,1344,2538464,99.57,27,2527990,99.45,21,0.09
00749B,199,1104500,99.78,7,1102241,99.75,6,0.03
00750B,75,148000,99.59,4,147410,99.32,3,0.04
00751B,68438,5120603,74.89,321,3835682,72.26,92,3.08
00752,17831,290216,35.48,38,103035,30.94,15,14.98
00753L,11317,771157,52.1,265,401909,37.26,80,3.08
00754B,452,1247900,99.7,14,1244170,99.7,14,0.06
00755B,1045,280230,97.88,9,274329,97.59,7,0.83
00756B,2331,1406800,97.8,19,1376068,97.43,11,0.35
00757,72190,279994,30.85,30,86417,28.25,17,33.79
00758B,121,5525,90.49,1,5000,90.49,1,2.14
00759B,116,47525,98.89,1,47000,98.89,1,0.15
00760B,647,435020,99.15,6,431350,99.15,6,0.29
00761B,3509,2734089,98.55,31,2694985,98.45,26,0.28
00762,23137,48248,20.0,7,9661,14.97,3,51.51
00763U,5312,49565,46.6,15,23111,40.08,10,22.53
00764B,8732,1559000,93.79,33,1462676,93.3,19,1.4
00768B,1674,764600,98.37,30,752265,97.73,23,0.38
00770,18504,79458,11.92,10,9494,7.01,4,41.96
00771,2098,14225,15.71,2,2236,11.94,1,30.64
00772B,41610,3372290,80.33,142,2709411,78.56,42,2.9
00773B,9161,2549790,95.5,42,2435648,95.13,26,0.84
00775B,180,232100,99.85,8,231790,99.23,6,0.06
00777B,212,2024150,99.92,14,2022860,99.88,13,0
00778B,184,1505650,99.94,12,1504941,99.89,10,0.01
00779B,667,1297150,99.59,9,1291924,99.52,8,0.1
00780B,1318,268102,97.58,10,261656,96.99,8,1.18
00781B,676,8336,37.49,4,3126,17.99,1,18.04
00782B,1245,19467,19.94,4,3885,7.17,1,16.31
00783,820,7031,7.29,1,513,0,0,25.43
00785B,240,1082966,99.87,12,1081632,99.75,9,0.02
00786B,1346,21566,32.39,6,6988,20.45,2,16.09
00787B,1045,12306,39.08,6,4811,16.25,1,17.73
00788B,1533,25206,25.12,8,6336,7.93,1,15.17
00789B,364,455600,99.38,11,452790,99.07,9,0.18
00791B,95,279600,99.72,7,278847,99.5,6,0.02
00792B,449,2277115,99.85,15,2274066,99.78,13,0.02
00793B,422,3026,0,0,0,0,0,27.36
00795B,38801,1598598,56.44,151,902645,52.51,45,5.86
00799B,1680,25536,20.22,4,5166,16.31,3,16.65
00830,173571,756465,22.51,59,170392,19.65,24,36.42
00834B,139,23198,96.09,5,22293,94.36,4,1.01
00836B,433,611541,99.58,13,609098,99.14,9,0.11
00840B,90,59431,99.27,3,59000,99.27,3,0.15
00841B,117,70440,98.66,4,69500,98.66,4,0.22
00842B,809,15767,52.24,5,8237,45.88,3,11.43
00844B,311,222175,98.95,4,219860,98.95,4,0.31
00845B,222,237551,99.54,4,236486,99.13,3,0.12
00846B,267,74350,98.18,2,73000,98.18,2,0.52
00847B,412,8305,58.77,3,4882,42.14,1,10.49
00848B,158,136066,99.21,2,135000,99.21,2,0.13
00849B,108,486106,99.7,5,484705,99.6,4,0.01
00850,80812,415444,17.63,31,73309,15.45,18,39.48
00851,2205,5525,27.87,1,1540,27.87,1,43.34
00852L,485,8365,64.67,3,5411,46.41,1,8.85
00853B,2373,182634,91.45,11,167033,90.37,7,3.25
00856B,423,6792,64.15,3,4358,44.16,1,8.98
00857B,16579,544268,52.27,69,284631,47.56,25,7.61
00858,19734,117374,16.44,15,19319,12.21,6,30.72
00859B,1480,31511,31.01,5,9775,29.13,4,10.66
00860B,356,3171,20.0,1,634,0,0,20.8
00861,19615,68412,4.42,4,3038,1.83,1,53.65
00862B,1561,886381,98.34,12,871747,98.24,10,0.41
00863B,343,576964,99.63,8,574848,99.63,8,0.11
00864B,3512,105722,35.36,21,37401,27.45,8,6.96
00865B,8701,279244,30.05,46,83984,22.73,12,6.06
00867B,206,504650,99.82,10,503751,99.82,10,0.06
00870B,317,564151,99.6,8,561969,99.4,6,0.08
00875,3568,13488,16.19,3,2187,0,0,49.41
00876,22056,75024,12.55,9,9433,9.01,4,46.88
00877,12327,152788,20.0,29,30576,11.87,10,20.33
00878,1607966,18343790,11.56,858,2125295,9.41,147,20.19
00881,317952,2373403,13.97,104,332095,12.52,43,31.76
00882,85995,2044849,26.4,408,540405,16.9,86,10.23
00884B,213,75440,98.74,4,74498,97.42,3,0.41
00885,50308,618238,17.61,89,109040,11.78,31,18.98
00886,1217,4451,11.03,1,491,0,0,46.0
00887,19324,403851,30.77,102,124362,19.66,29,11.76
00888,69299,452478,10.57,22,47939,9.3,12,37.04
00890B,718,18764,73.19,3,13737,63.95,1,8.19
00891,173664,1653090,12.42,97,205738,10.14,32,26.44
00892,42328,293292,15.91,24,46719,13.55,14,33.88
00893,58834,364884,8.77,22,32075,6.39,8,38.71
00894,25723,148509,14.7,12,21845,11.54,6,38.32
00895,30123,149416,10.35,8,15484,8.55,4,43.8
00896,49456,392880,9.84,28,38723,7.05,10,32.78
00897,10418,144012,19.01,27,27400,10.59,7,20.63
00898,10444,145476,17.97,27,26162,9.88,9,21.89
00899,4087,16135,5.03,1,812,0,0,46.01
00900,136017,1652025,15.57,95,257525,13.08,25,22.37
00901,12302,63349,12.87,11,8160,4.87,3,41.16
00902,18493,226497,17.85,29,40482,13.23,12,21.95
00903,7372,50221,11.19,3,5625,9.6,2,36.65
00904,25312,167112,13.44,20,22483,6.83,5,35.82
00905,43655,345827,7.99,18,27680,6.49,8,31.93
00907,20650,162133,13.17,13,21390,11.23,8,31.91
00908,2820,35416,35.86,8,12707,23.83,3,19.26
00909,28033,108204,12.41,9,13442,9.24,4,45.81
00910,43557,130439,14.23,11,18587,11.81,5,47.83
00911,12226,22403,10.91,4,2448,0,0,57.54
00912,8411,59253,19.74,7,11701,17.21,4,33.26
00913,10206,40766,7.26,3,2962,3.82,1,46.37
00915,74742,528483,16.7,35,88400,14.79,18,35.62
00916,23064,133419,14.68,17,19612,9.71,7,39.07
00917,12093,62478,14.74,11,9218,5.91,2,40.2
00918,274598,3529264,13.35,193,471630,11.15,56,20.38
00919,1357662,18075635,11.38,1015,2059338,8.63,146,17.82
00920,7527,20280,19.3,4,3916,12.69,2,49.07
00921,9103,55270,11.46,6,6342,7.4,3,40.62
00922,189128,2091186,30.77,102,643959,28.77,32,21.67
00923,106326,850923,16.43,40,140043,15.18,22,31.89
00924,56433,443103,23.7,29,105126,21.27,13,27.41
00926,9595,89482,47.63,12,42639,43.32,6,23.61
00927,122864,1083897,9.85,77,107083,6.63,21,28.95
00928,6310,36356,23.77,6,8644,22.59,5,35.98
00929,412428,4549139,9.84,185,448304,8.06,44,22.91
00930,19610,134279,9.24,7,12428,7.36,4,37.65
00931B,35128,2115898,74.22,104,1570835,72.36,40,4.47
00932,14072,123283,13.62,9,16815,11.76,6,31.91
00933B,79720,6468958,76.08,403,4923520,73.16,94,3.02
00934,48263,410026,8.96,25,36825,6.8,10,31.89
00935,117402,764004,19.29,54,147539,17.13,25,30.76
00936,23453,207297,9.32,9,19355,8.3,6,30.88
00937B,214783,17183305,61.28,3016,10534678,52.74,570,2.7
00938,6415,93516,39.83,9,37257,39.83,9,20.39
00939,104910,1201976,7.4,51,89257,5.51,16,26.78
00940,330920,5531365,12.5,438,692153,8.69,84,17.93
00941,49235,445291,9.9,37,44116,6.07,9,29.55
00942B,10172,2012959,89.51,66,1802347,88.46,29,1.37
