stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,134402,1976140,18.4,212,363840,13.59,51,17.94
00401A,17645,238895,24.78,31,59227,21.25,17,21.25
00402A,47609,709127,20.27,105,143796,12.7,17,20.75
00403A,969962,16813519,18.04,1843,3037138,12.68,349,16.12
00404A,22914,347795,23.89,35,83173,20.64,15,20.79
00405A,157482,3442745,21.24,461,731948,14.94,104,12.67
00406A,108221,2788562,23.85,630,665564,12.43,110,10.57
00407A,142416,2809239,24.56,388,690688,17.93,82,14.33
00408A,8442,152634,31.14,37,47566,20.66,12,16.41
00410A,6588,141360,41.57,27,58785,33.04,7,13.8
00411A,19372,744076,42.55,110,316807,35.05,23,8.13
0050,3543831,22338500,26.31,927,5881139,24.66,273,26.38
0051,12746,24500,12.73,5,3121,0,0,56.1
0052,460976,2595500,20.09,159,522093,17.99,69,35.77
0053,6523,9988,57.08,5,5702,41.58,2,28.01
0055,14358,85154,44.76,17,38140,36.2,4,26.8
0056,1656038,14158534,11.74,716,1665112,9.46,154,25.64
0057,3711,1527,0,0,0,0,0,36.85
0061,6050,96116,32.88,22,31629,22.31,5,15.52
006201,4662,22946,46.36,7,10643,32.61,2,28.83
006203,3660,10218,78.33,6,8005,59.56,3,10.11
006204,1154,1500,0,0,0,0,0,46.44
006205,8865,93939,45.33,26,42611,33.34,7,17.71
006206,3122,26778,20.26,4,5428,11.21,1,25.08
006207,1603,20892,14.6,5,3054,0,0,16.79
006208,713762,1860040,10.16,58,189473,9.57,39,52.06
00631L,318724,7517348,30.34,1512,2282067,20.87,312,9.43
00632R,66086,2708708,46.31,839,1255002,32.06,217,4.9
00633L,3613,116958,34.3,38,40152,20.69,12,7.05
00634R,770,42756,53.49,14,22879,42.14,7,3.97
00635U,56000,345514,31.35,34,108410,28.12,16,28.62
00636,8242,94325,21.45,20,20254,13.73,6,19.93
00637L,11768,742106,56.93,277,422618,41.96,94,3.65
00638R,511,22948,52.26,8,11999,36.61,2,5.23
00639,5710,95903,25.82,23,24785,13.72,6,13.47
00640L,1229,6419,27.44,3,1763,0,0,26.67
00641R,1303,92258,59.24,36,54668,45.05,15,2.94
00642U,8881,77821,43.15,14,33589,35.35,5,21.83
00643,3187,72503,40.28,21,29226,25.75,5,11.47
00645,9813,42997,23.54,10,10132,11.98,2,36.54
00646,111629,603485,42.51,73,256677,38.32,31,25.19
00647L,1512,6416,28.88,1,1854,28.88,1,27.87
00648R,2411,142688,46.27,40,66056,35.19,13,3.55
00650L,2139,96838,51.63,39,50015,40.45,20,4.68
00651R,398,32192,69.2,16,22285,51.28,7,2.54
00652,9401,61035,29.99,14,18319,21.56,5,28.92
00653L,1237,12903,12.12,1,1565,12.12,1,19.69
00654R,377,19466,54.89,9,10687,37.6,3,4.16
00655L,2193,57958,29.45,20,17075,14.95,5,8.5
00656R,321,20357,74.47,15,15164,42.02,4,3.27
00657,1653,6084,11.15,1,679,0,0,40.38
00660,1048,7531,30.57,3,2303,16.54,1,17.58
00661,7256,23425,17.56,5,4119,6.8,1,42.58
00662,108615,900529,37.29,94,335978,33.57,32,15.48
00663L,15183,158663,28.01,20,44458,24.32,11,19.46
00664R,9773,841075,57.3,389,482091,37.91,126,2.58
00665L,4914,403965,58.11,150,234832,43.64,58,2.39
00666R,130,13624,83.06,8,11319,62.62,5,1.63
00668,2022,7483,30.8,2,2306,18.81,1,32.78
00669R,3174,205117,46.01,64,94438,34.42,24,3.35
00670L,12418,77145,13.51,9,10439,8.04,3,27.52
00671R,3530,520884,69.67,201,362965,53.5,68,1.24
00673R,11076,625051,46.35,199,289923,32.47,62,3.64
00674R,1377,14421,41.1,4,5928,35.85,3,18.33
00675L,19433,113786,20.09,12,22871,15.96,5,30.1
00676R,4409,188334,43.53,72,82019,26.34,20,4.44
00678,1850,8948,26.57,5,2378,0,0,27.63
00679B,234712,6236692,42.64,689,2660746,37.5,146,8.98
00680L,19320,1463076,53.95,517,789415,38.88,157,2.74
00681R,97,7594,91.64,6,6960,84.86,5,1.52
00682U,258,7644,77.93,4,5958,52.39,2,3.68
00683L,327,11434,66.89,6,7649,58.88,4,4.89
00684R,171,9688,81.14,6,7862,73.57,5,3.25
00685L,199134,6164336,34.12,1548,2104491,22.12,312,8.05
00686R,2103,253776,66.13,113,167860,47.36,38,1.66
00687B,153230,4244380,42.4,552,1800600,36.58,138,8.72
00688L,9257,628115,49.61,215,311679,34.97,69,3.07
00689R,51,6889,87.42,5,6023,74.04,3,0.42
00690,17757,83830,11.74,12,9857,4.86,3,36.63
00692,91197,614280,16.61,34,102134,14.79,17,33.3
00693U,3173,73166,40.78,24,29853,29.81,10,10.05
00694B,1979,27076,64.74,8,17534,53.51,4,12.76
00695B,2240,40186,75.14,9,30206,68.56,5,10.11
00696B,10946,609681,83.2,27,507415,82.3,18,4.13
00697B,6599,64212,23.33,12,14993,18.48,7,22.13
00700,2615,31983,11.19,6,3583,0,0,18.26
00701,38466,170391,5.78,10,9866,3.77,4,51.36
00702,1155,6688,55.68,5,3725,31.64,2,25.66
00703,1022,9550,22.96,3,2194,0,0,22.77
00706L,6138,131271,31.56,29,41448,22.71,11,9.74
00708L,15742,131073,25.76,24,33793,18.87,9,22.82
00709,2276,14960,38.14,9,5709,7.16,1,23.54
00710B,3615,179761,82.35,9,148048,81.24,5,4.74
00711B,794,871761,99.34,5,866094,99.18,3,0.15
00712,135827,4971511,31.45,1131,1564133,20.32,196,6.16
00713,269694,1696012,22.46,76,381437,21.2,44,32.05
00714,2391,20067,44.08,11,8849,9.79,1,23.23
00715L,5430,88192,46.11,16,40673,42.45,11,11.02
00717,7560,119605,27.01,25,32324,17.79,8,15.8
00719B,14400,303014,30.4,49,92176,23.5,17,11.0
00720B,78391,4039609,65.61,301,2650938,62.3,74,4.56
00722B,13540,1458739,89.89,46,1311563,89.2,28,2.43
