stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,135429,2069640,19.84,216,411016,15.15,55,17.48
00401A,17768,239395,23.01,28,55149,20.05,17,21.51
00402A,48196,714627,19.14,107,136968,11.7,18,20.86
00403A,1002531,17768019,18.93,1958,3364860,13.53,374,15.77
00404A,23269,357795,24.52,33,87759,21.35,14,20.57
00405A,161636,3632745,22.98,478,835457,16.74,106,12.3
00406A,72710,1757562,20.19,353,355243,10.19,63,11.44
00407A,150945,2982739,23.35,419,696998,16.49,87,14.31
00408A,8549,161134,32.79,36,52874,22.9,12,15.87
00410A,5574,141360,44.33,30,62705,34.79,7,12.21
0050,3534313,22426000,26.7,922,5993400,25.06,271,26.28
0051,12901,24500,12.72,5,3120,0,0,56.17
0052,464787,2669000,21.46,163,573286,19.31,69,35.12
0053,5814,5488,19.15,1,1051,19.15,1,48.58
0055,13164,86154,45.37,19,39099,37.93,7,26.4
0056,1654097,14283034,12.24,715,1750164,9.99,157,25.5
0057,2929,1527,0,0,0,0,0,31.75
0061,6066,96116,32.91,22,31647,23.35,6,15.57
006201,4696,23446,47.24,7,11080,36.55,3,28.07
006203,2489,10218,78.32,6,8004,52.11,2,9.5
006204,1154,1500,0,0,0,0,0,45.66
006205,8874,93939,45.46,26,42727,33.43,7,17.69
006206,3133,27278,21.4,4,5842,15.18,2,24.71
006207,1583,20892,15.29,5,3197,0,0,16.72
006208,712086,1860040,10.28,59,191594,9.65,39,52.0
00631L,329196,7815848,31.07,1530,2430844,21.89,320,9.47
00632R,65361,2648208,47.55,804,1259939,33.94,219,4.99
00633L,3475,115458,35.81,38,41372,22.7,13,6.68
00634R,776,46256,55.65,15,25754,40.9,6,3.65
00635U,57134,349014,30.12,31,105201,27.85,17,29.21
00636,8240,94825,21.0,18,19923,14.15,6,19.84
00637L,11152,723106,57.88,262,418599,43.42,91,3.51
00638R,520,22948,50.85,8,11674,35.2,2,5.22
00639,5719,96403,25.24,22,24356,14.78,7,13.3
00640L,1193,6419,21.67,2,1392,0,0,26.52
00641R,1325,82758,52.67,34,43600,36.84,14,3.31
00642U,9390,85821,41.75,16,35848,35.15,7,21.48
00643,3188,72503,40.16,20,29136,26.62,5,11.5
00645,9793,42997,23.74,10,10214,11.98,2,36.44
00646,109626,587985,42.1,72,247638,37.38,28,25.27
00647L,1483,6416,29.61,1,1900,29.61,1,27.36
00648R,2418,142188,46.34,39,65912,35.86,14,3.59
00650L,2190,101838,52.43,38,53428,43.35,21,4.5
00651R,404,32192,69.53,16,22393,51.8,7,2.83
00652,9406,62535,32.28,15,20190,25.67,7,28.12
00653L,1221,13403,15.87,2,2129,11.16,1,19.39
00654R,377,19466,54.73,9,10656,37.44,3,4.39
00655L,2138,57958,30.48,19,17674,16.55,5,8.28
00656R,323,20357,72.98,13,14861,45.03,4,3.26
00657,1649,6584,18.21,1,1199,18.21,1,37.6
00660,1032,7531,32.34,4,2436,0,0,17.11
00661,7244,23425,14.83,4,3479,6.68,1,42.19
00662,107450,893029,38.0,97,339466,33.96,32,15.38
