stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,134113,1899640,16.76,204,318669,11.85,47,18.43
00401A,17651,237895,22.76,32,54187,18.58,16,20.93
00402A,46693,706127,21.16,102,149508,13.83,19,20.37
00403A,912848,15200019,16.69,1685,2538912,11.25,320,16.84
00404A,27340,354295,10.64,39,37767,5.75,10,24.41
00405A,149164,3126245,19.39,425,606752,12.97,97,13.29
00406A,146820,3746062,22.64,841,848647,11.28,144,10.61
00407A,131958,2584239,24.92,355,644497,18.36,73,14.42
00408A,8286,147634,30.71,33,45367,20.76,10,16.46
00409A,48947,1848448,41.2,488,761851,28.35,123,7.67
00410A,9062,156360,32.87,29,51431,26.0,12,16.06
00411A,21615,594076,30.8,108,183057,22.15,26,10.95
0050,3532472,22057500,26.04,909,5748750,24.4,266,26.46
0051,12572,24500,11.07,4,2715,0.0,0,55.92
0052,453291,2560000,20.81,158,533133,18.71,69,35.51
0053,6702,9988,51.88,4,5182,42.6,2,29.7
0055,15577,84654,41.78,17,35380,33.59,4,28.11
0056,1653244,14058034,11.58,724,1631480,9.27,156,25.71
0057,3541,1527,0.0,0,0,0.0,0,36.58
0061,6025,96116,33.03,22,31769,22.44,5,15.46
006201,5444,22946,48.49,8,11134,32.68,2,28.28
006203,3841,10218,74.49,5,7613,59.82,3,10.06
006204,1141,1500,0.0,0,0,0.0,0,45.32
006205,8818,93439,45.68,26,42703,33.03,7,17.72
006206,3100,26778,21.22,4,5685,11.22,1,24.74
006207,1611,20892,13.53,5,2829,0.0,0,16.66
006208,712984,1860540,10.4,58,193995,9.86,40,51.94
00631L,298582,7043848,30.14,1471,2124032,20.33,305,9.26
00632R,66586,2807208,46.41,875,1303272,32.17,226,4.72
00633L,3609,118458,34.45,37,40845,20.64,11,6.96
00634R,765,42756,53.57,14,22917,42.22,7,4.02
00635U,57044,308514,20.32,33,62778,16.72,16,32.8
00636,8196,93825,21.13,19,19851,13.96,6,19.97
00637L,11790,743606,56.79,276,422514,41.83,93,3.61
00638R,505,22948,52.83,8,12131,37.18,2,5.12
00639,5699,95903,25.04,21,24032,15.2,7,13.45
00640L,1306,6419,26.51,3,1703,0.0,0,28.65
00641R,1296,90258,58.24,32,52585,46.54,15,3.01
00642U,7375,60821,42.37,12,25777,32.72,4,21.51
00643,3174,72503,40.42,21,29321,25.59,5,11.42
00645,9788,42997,24.31,10,10457,12.01,2,36.45
00646,113862,632985,44.03,72,278926,40.06,31,24.61
00647L,1529,6416,30.66,1,1967,30.66,1,29.01
00648R,2376,142688,46.85,39,66881,35.67,12,3.45
00650L,2208,96338,49.27,40,47482,38.42,21,4.86
00651R,385,32192,69.07,15,22244,52.66,7,2.49
00652,9331,61035,30.66,14,18726,23.29,6,28.72
00653L,1255,12903,10.44,1,1348,10.44,1,20.21
00654R,373,19466,55.98,9,10900,38.69,3,4.18
00655L,2197,57958,28.8,19,16701,15.79,5,8.52
00656R,318,20357,75.79,14,15434,45.94,4,3.32
00657,1645,6084,9.73,1,592,0.0,0,40.11
00660,1032,6531,16.18,2,1057,0.0,0,20.25
00661,7234,23425,17.28,5,4052,6.62,1,42.48
00662,109655,915529,37.65,99,344935,33.57,31,15.45
00663L,13951,142163,28.51,21,40561,22.95,10,19.45
00664R,10149,884575,57.95,409,512677,38.45,132,2.57
00665L,5012,403965,57.4,153,231967,43.08,61,2.46
00666R,123,12124,79.21,6,9604,73.66,5,1.55
00668,2041,7483,31.96,2,2392,31.96,2,33.36
00669R,3125,200117,45.4,62,90900,33.89,24,3.36
00670L,12387,77145,13.19,8,10188,7.75,2,27.53
00671R,3570,507884,68.62,209,348611,51.75,71,1.27
00673R,14992,920551,44.14,297,406583,29.96,89,3.26
00674R,1312,14421,46.3,4,6677,40.96,3,17.2
00675L,18760,111286,23.0,12,25634,18.57,5,29.58
00676R,4412,200834,47.29,78,95031,31.19,24,4.16
00678,1864,8948,27.77,5,2485,0.0,0,28.0
00679B,233652,6200692,42.69,696,2648156,37.48,151,9.01
00680L,19138,1438576,53.67,506,772271,38.49,152,2.78
00681R,97,7594,90.51,6,6875,70.57,4,1.35
00682U,261,7644,77.86,4,5953,52.28,2,3.7
00683L,324,11434,67.46,6,7714,59.45,4,4.84
00684R,168,9688,81.21,6,7868,73.74,5,3.19
00685L,184453,5514336,32.18,1468,1775236,19.53,306,8.27
00686R,2126,266276,66.49,117,177068,48.56,42,1.57
00687B,152658,4239880,42.37,557,1797202,36.51,141,8.69
00688L,9113,616115,49.48,208,304976,35.37,71,3.1
00690,17133,83830,13.73,13,11534,7.26,4,35.69
00692,91311,613280,16.87,33,103552,15.22,18,33.21
00693U,2953,68666,41.86,19,28752,34.6,10,9.57
00694B,1993,27576,63.33,7,17467,56.87,5,12.59
00695B,2246,40186,73.81,8,29665,68.89,5,10.22
00696B,10952,617681,83.23,28,514147,82.31,19,4.08
00697B,6675,65712,23.34,11,15352,19.49,7,21.9
00700,2588,31483,11.64,5,3668,5.03,1,18.55
00701,37830,168891,6.73,12,11376,4.6,5,50.89
00702,1147,6688,55.07,5,3684,31.03,2,25.61
00703,1013,9550,26.59,4,2541,0.0,0,22.7
00706L,6126,126271,32.89,31,41557,23.08,11,10.0
00708L,17309,152573,29.68,29,45311,22.36,11,21.87
00709,2248,14460,36.29,9,5251,7.44,1,24.36
00710B,3681,179761,81.79,7,147034,81.24,5,4.79
00711B,794,871761,99.33,5,866081,99.18,3,0.15
00712,140494,5370011,32.23,1230,1731763,21.1,220,5.86
00713,268864,1687012,22.48,77,379401,21.29,46,32.09
00714,2380,20067,46.48,12,9330,10.16,1,23.1
00715L,3962,75192,57.88,16,43540,53.08,11,8.56
00717,7526,119605,27.56,26,32987,17.79,8,15.77
00719B,14736,311014,30.24,52,94105,22.97,17,10.77
00720B,77848,4027609,65.76,301,2648862,62.46,75,4.54
00722B,13489,1461739,89.91,49,1314406,89.14,29,2.41
00723B,468,1520583,99.74,14,1516832,99.65,11,0.05
00724B,6225,3023775,97.63,32,2952265,97.48,24,0.5
00725B,41316,3687206,82.01,154,3024176,80.37,56,2.72
00726B,1725,1187489,97.99,17,1163786,97.61,10,0.32
00727B,725,57189,90.0,6,51475,87.51,3,2.79
00728,9853,39423,3.9,2,1540,2.78,1,49.41
00730,13069,69044,16.27,9,11248,12.09,4,41.05
00731,8212,20100,12.92,4,2600,0.0,0,57.71
00733,20719,62966,13.14,6,8283,10.34,3,53.91
00734B,528,24979,82.55,2,20623,80.06,1,4.77
00735,31803,119789,22.74,20,27256,17.24,9,37.77
00736,491,6727,72.84,6,4900,41.61,2,9.02
00737,5464,22538,15.21,4,3431,9.54,2,43.98
