stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,129238,1726140,18.4,172,317916,13.93,41,20.54
00401A,17834,241895,25.77,25,62403,23.09,14,21.62
00402A,53963,812127,20.75,118,168787,13.67,21,20.72
00403A,985535,15552519,17.74,1760,2762628,12.17,342,18.17
00404A,24061,326795,18.1,33,59219,14.5,12,23.51
00405A,142934,2645745,17.43,340,461668,11.21,74,15.87
00406A,39487,750062,18.25,108,137070,11.53,25,16.5
00407A,150233,2512739,20.75,339,521955,14.34,75,17.66
0050,3273063,20754500,28.04,860,5825283,26.37,246,26.03
0051,14006,24500,14.09,5,3455,0,0,55.68
0052,466652,2562000,19.3,153,495177,17.14,64,36.59
0053,6220,5488,18.91,1,1038,18.91,1,47.23
0055,12206,90654,46.13,18,41830,38.54,5,25.64
0056,1588173,13628034,11.94,691,1629224,9.64,149,25.85
0057,2806,1527,0,0,0,0,0,27.88
0061,6220,98616,32.53,22,32093,22.99,6,15.58
006201,3332,20446,48.61,7,9942,35.11,2,29.34
006203,1177,10218,77.01,5,7871,57.01,2,9.19
006204,1126,1500,0,0,0,0,0,45.12
006205,9051,96939,45.89,28,44497,34.47,9,17.58
006206,3264,27778,19.34,4,5374,10.88,1,25.3
006207,1582,21392,18.53,6,3967,5.62,1,16.81
006208,698257,1829540,10.69,60,196002,10.01,39,51.9
00631L,309613,6461848,29.51,1333,1908092,20.1,300,10.7
00632R,64394,2491208,44.17,805,1100720,29.4,212,5.11
00633L,3738,112458,29.17,38,32835,14.31,10,7.49
00634R,792,47256,55.28,13,26137,44.56,6,3.56
00635U,57479,297514,18.81,29,56005,15.91,15,34.09
00636,8393,99825,23.31,21,23287,16.12,8,19.4
00637L,12079,719106,53.93,282,388006,37.88,96,3.79
00638R,535,24448,51.02,10,12479,31.83,2,5.1
00639,5802,99403,27.32,27,27172,15.7,9,13.16
00640L,1355,7419,22.82,2,1694,16.56,1,25.69
00641R,1328,75758,50.38,30,38187,38.13,14,3.6
00642U,11329,106321,36.3,18,38625,30.34,8,22.34
00643,3262,73503,38.42,20,28256,23.89,4,11.56
00645,10076,43997,23.11,9,10171,14.65,3,36.71
00646,107246,562485,40.52,64,228036,36.22,26,25.95
00647L,1617,6416,24.83,1,1593,24.83,1,29.37
00648R,2389,140688,46.33,39,65212,34.87,13,3.55
00650L,2840,139838,47.22,57,66051,33.1,23,4.34
00651R,397,32192,71.22,16,22932,53.17,7,2.77
00652,9857,67035,32.42,15,21745,27.32,8,27.6
00653L,1347,15903,18.61,3,2961,12.07,1,18.23
00654R,386,19466,51.08,8,9946,33.79,2,4.54
00655L,2262,58458,29.12,21,17032,12.63,4,8.77
00656R,329,20357,72.6,12,14783,47.59,4,3.3
00657,1660,6584,15.03,1,990,0,0,37.45
00660,1067,7531,32.26,4,2430,0,0,17.67
00661,7253,23425,17.46,5,4093,5.67,1,41.83
00662,104219,855529,38.49,83,329498,34.94,29,15.48
00663L,16532,145663,23.4,27,34094,16.87,12,22.45
00664R,6877,785575,59.88,376,470519,40.41,130,1.59
00665L,6213,568465,59.61,209,338962,45.82,83,2.08
00666R,114,14624,86.19,5,12605,86.19,5,1.35
00668,2001,7483,25.19,2,1885,16.7,1,33.24
00669R,3221,205117,45.8,63,93982,34.47,25,3.39
00670L,12193,76145,15.09,9,11511,9.22,2,26.74
00671R,3663,540384,69.11,214,373603,52.47,72,1.22
00673R,9236,519551,48.29,163,250974,34.63,49,3.59
00674R,1502,15921,42.44,4,6757,42.44,4,18.72
00675L,19835,107286,18.68,12,20053,14.26,5,31.68
00676R,4256,172834,40.5,62,70039,24.04,19,4.66
00678,1820,7948,28.66,5,2278,0,0,30.26
00679B,241023,6610692,44.33,690,2931952,39.5,152,8.72
00680L,20008,1505076,52.98,528,797524,37.93,157,2.75
00681R,106,7594,91.2,5,6928,63.0,2,1.73
00682U,274,7644,77.04,4,5889,51.67,2,4.07
00683L,350,11434,64.43,6,7367,51.96,3,5.14
00684R,188,9688,80.12,6,7764,63.08,4,3.66
00685O,55183,124139,9.58,10,11923,6.08,4,48.84
00686R,1806,191776,59.93,84,114991,41.49,29,1.87
00687B,160624,4904135,47.01,582,2306251,41.73,144,7.91
00688L,9658,639615,47.65,221,304843,32.74,70,3.13
00689R,60,6889,85.88,5,5917,60.71,2,0.45
00690,13916,80830,13.01,12,10525,5.8,3,35.94
00692,90957,614280,17.61,34,108245,15.61,16,33.34
00693U,3768,87166,38.06,25,33194,29.11,12,9.97
00694B,2003,39576,75.45,9,29864,70.58,6,8.86
00695B,2281,39686,74.67,9,29637,69.73,6,10.54
00696B,11188,657681,84.12,28,553349,83.03,17,3.9
00697B,6618,64712,24.13,13,15616,19.88,8,22.19
00700,2754,34983,9.85,5,3449,0,0,17.62
00701,38488,173891,8.87,13,15444,6.53,6,50.06
00702,1184,6688,49.47,5,3309,15.25,1,26.12
00703,1085,9550,16.67,2,1592,0,0,24.56
00706L,7031,158271,29.84,44,47260,17.72,12,9.4
00708L,15925,119573,20.4,22,24416,12.56,7,26.05
00709,2449,15460,36.68,9,5673,7.28,1,24.24
00710B,3751,180761,81.87,9,147999,80.75,5,4.86
00711B,798,872261,99.35,5,866682,99.3,4,0.16
00712,140404,5331011,31.95,1205,1704287,20.86,210,5.9
00713,275331,1744512,22.9,81,399803,21.67,48,31.97
00714,2546,21067,43.25,11,9114,18.0,3,24.14
00715L,8579,127192,34.26,25,43608,28.73,13,14.47
00717,7787,126605,29.58,31,37482,19.93,10,15.5
00719B,14357,551014,61.29,55,337761,56.93,16,6.08
00720B,80290,4044609,65.09,311,2633224,61.68,76,4.67
00722B,13812,1456739,89.84,40,1309039,89.27,26,2.51
00723B,455,1520083,99.77,14,1516769,99.72,12,0.05
00724B,6369,3026775,97.61,34,2955056,97.41,23,0.52
00725B,42322,3764206,82.17,164,3093964,80.51,59,2.75
00726B,1790,1193989,97.96,21,1169780,97.63,14,0.33
00727B,710,56689,90.51,6,51314,88.92,4,2.78
00728,9572,38923,3.08,2,1200,0,0,50.21
00730,13429,71044,17.81,10,12668,13.91,5,40.88
00731,8591,22100,19.24,5,4254,10.97,2,55.94
00733,21358,67466,19.75,12,13330,12.47,4,50.99
00734B,531,25979,84.97,3,22078,82.58,2,4.61
00735,31061,105789,17.39,16,18418,12.76,6,40.65
00736,511,6227,67.15,5,4182,44.03,2,9.92
00737,5536,22538,12.1,4,2731,4.88,1,45.29
00738U,34809,247299,18.0,37,44568,12.44,14,27.67
00739,2001,25988,38.59,9,10034,18.81,2,17.39
00740B,6020,2157971,96.85,46,2090412,96.33,28,0.59
00741B,1200,13628,45.28,2,6171,45.28,2,18.27
00746B,1344,2535964,99.57,26,2525242,99.5,22,0.09
00749B,202,1104500,99.78,7,1102246,99.75,6,0.02
00750B,72,148000,99.61,4,147442,99.32,3,0.04
00751B,68565,5129603,74.93,322,3844804,72.28,91,3.08
00752,17745,293716,35.74,39,105031,31.09,15,14.69
00753L,11508,770657,51.3,272,395462,36.08,83,3.12
00754B,449,1266900,99.73,15,1263531,99.73,15,0.06
00755B,1048,280230,97.74,8,273925,97.59,7,0.83
00756B,2343,1506800,97.92,19,1475854,97.58,11,0.33
00757,73009,286494,31.7,31,90864,28.98,17,33.45
00758B,120,5525,90.49,1,5000,90.49,1,2.13
00759B,115,47525,98.89,1,47000,98.89,1,0.15
00760B,649,435020,99.15,6,431343,99.15,6,0.3
00761B,3525,2733089,98.54,31,2693634,98.4,25,0.28
