stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
5263,26673,73937,55.78,30,41255,45.51,16,12.52
5265,123,1207,0,0,0,0,0,22.11
5267,1372,25300,62.14,13,15723,46.59,5,8.7
5269,39711,74157,55.55,10,41208,51.61,5,26.35
5271,8090,63472,29.48,13,18728,20.52,4,24.34
5272,45746,55276,23.87,15,13198,10.26,3,36.42
5274,33988,37803,34.15,13,12915,19.28,3,11.6
5275,144,10264,30.86,6,3169,0,0,2.11
5276,989,39500,88.1,6,34805,85.29,4,4.42
5278,4483,300000,82.36,70,247148,77.24,45,2.74
5282,278,25006,85.81,10,21463,59.25,1,0.6
5283,27522,87601,60.82,23,53292,53.45,14,20.47
5284,9286,52893,56.1,11,29682,52.08,7,17.55
5285,11647,102041,62.72,34,64017,54.18,20,19.18
5286,910,14745,79.97,6,11795,69.95,4,4.81
5287,9973,60311,59.32,22,35791,47.17,10,21.4
5288,3121,69699,69.11,15,48187,59.84,4,7.41
5289,58115,96359,40.22,31,38773,26.86,10,23.26
5291,5200,39891,49.59,23,19787,22.26,5,21.45
5292,7188,42108,53.03,17,22340,38.18,7,15.36
5294,60,82,0,0,0,0,0,86.86
5295,156,29140,86.34,15,25168,71.08,8,0.75
5296,469,21595,35.92,7,7760,27.24,4,5.13
5297,8186,37652,20.92,10,7880,10.87,3,34.89
5299,16269,50889,51.55,10,26244,44.98,5,25.4
5301,4051,65890,80.61,10,53128,74.58,4,4.95
5302,12836,159888,52.82,25,84465,46.18,7,16.89
5304,32316,326962,88.1,23,288105,86.33,13,6.18
5306,12341,126001,68.9,22,86834,64.41,11,12.56
5307,35157,423153,41.15,93,174182,32.16,31,16.05
5309,70368,230964,39.72,34,91793,33.17,10,32.18
5310,7198,28944,58.49,15,16936,38.38,5,6.49
5312,5805,60060,55.6,17,33402,50.71,13,13.55
5314,50420,292000,45.81,40,133830,41.52,19,26.59
5315,51134,106352,33.38,30,35524,23.45,13,21.99
5321,8203,53180,60.44,23,32152,46.06,10,13.5
5324,21389,226379,79.08,46,179070,72.88,24,4.99
5325,20426,55522,33.44,8,18575,27.5,3,38.13
5328,67583,172711,47.39,25,81892,42.39,12,31.58
5336,2962,2224,0,0,0,0,0,68.94
5340,26958,194894,61.49,35,119899,53.32,8,20.66
5344,6775,79447,75.57,7,60047,73.54,4,10.54
5345,6421,37795,78.9,2,29821,78.9,2,7.19
5346,263586,1366161,37.66,306,514678,28.0,88,20.14
5347,97796,1879568,85.82,243,1613383,82.47,145,6.78
5348,1794,14776,56.32,6,8324,40.79,2,9.22
5351,111140,328585,36.74,57,120765,31.22,28,30.43
5353,6750,75765,54.86,29,41576,37.82,10,14.23
5355,32671,166123,70.33,44,116858,62.63,25,7.18
5356,52887,103040,44.07,23,45420,39.58,16,22.08
5364,7398,63850,69.93,14,44657,61.31,3,5.83
5371,100114,390981,43.61,52,170572,39.62,26,32.18
5372,5398,48620,23.53,13,11444,12.37,4,24.44
5376,3812,33732,33.68,9,11368,23.82,3,17.23
5381,27002,207835,55.03,31,114436,48.14,9,19.35
5385,8322,11156,23.79,2,2655,18.19,1,43.97
5386,27457,36081,35.67,6,12878,28.28,2,35.21
5387,141683,45000,91.33,2,41103,90.19,1,7.17
5388,33483,304343,52.36,102,159404,42.3,51,19.44
5392,66326,176562,34.51,19,60950,29.25,5,32.52
5395,2243,1760,0,0,0,0,0,41.07
5398,38062,49465,57.64,19,28522,43.78,9,7.71
5403,9739,78176,47.08,35,36821,29.91,12,19.42
5410,57127,92859,36.77,22,34158,27.61,10,27.74
5414,5083,68584,59.7,20,40958,48.09,7,10.26
5425,88559,263485,41.88,49,110402,37.08,30,33.39
5426,35865,143800,57.34,25,82494,54.39,18,20.96
5432,5532,20688,54.1,4,11196,51.4,3,28.1
5434,30369,194006,53.85,71,104508,39.41,29,14.51
5438,38098,112537,75.38,12,84837,74.18,9,9.92
5439,33302,92977,47.02,33,43737,34.31,16,27.03
5442,4831,64865,20.62,12,13385,14.59,5,16.15
5443,67623,164747,39.78,22,65567,34.73,7,37.2
5450,11700,122403,81.45,12,99721,78.42,6,5.44
5452,69602,148764,43.22,23,64312,38.81,10,29.27
5455,3484,65502,93.99,25,61570,89.0,20,1.66
5457,17331,196455,54.39,35,106897,49.62,19,16.92
5460,31651,58778,55.96,27,32898,39.17,12,15.9
5464,4569,71071,73.09,27,51965,57.66,12,8.2
5465,7958,147683,72.2,17,106640,68.79,8,11.29
5467,1837,85557,86.39,11,73931,82.79,6,2.84
5468,5817,58923,67.34,14,39689,59.23,7,12.98
5469,37379,486166,71.67,86,348517,66.6,46,12.19
5471,66680,167877,29.62,42,49759,20.15,16,36.97
5473,2490,3043,0,0,0,0,0,78.19
5474,8185,39757,56.66,8,22534,48.5,4,26.25
5475,51565,127127,40.65,25,51707,34.44,12,32.2
5478,41261,156074,79.31,30,123826,72.84,16,9.62
5481,42472,71403,64.77,23,46258,52.65,10,8.11
5483,121076,641222,62.42,153,400378,55.99,85,18.56
5484,34375,66801,39.41,13,26338,34.13,7,38.14
5487,7177,24223,71.07,15,17221,47.58,7,7.46
5488,40525,91586,44.77,28,41009,37.74,16,15.28
5489,3037,102706,85.29,13,87610,82.7,8,4.1
5490,70008,96152,34.99,24,33660,26.71,11,24.05
