stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,127095,1594140,15.61,164,249219,10.92,38,21.94
00401A,17982,242895,24.98,24,60716,22.6,14,21.72
00402A,56943,846127,18.19,132,154061,10.39,24,21.08
00403A,1000278,15714019,17.36,1786,2730231,11.76,340,18.32
00404A,23988,314295,16.27,36,51184,11.89,11,24.55
00405A,141490,2555745,17.87,347,457231,11.43,77,16.53
00406A,38873,733562,17.55,112,128970,9.95,20,16.84
00407A,108441,1594739,17.25,259,275393,9.5,59,20.95
0050,3238748,20485500,27.97,847,5734477,26.31,246,26.08
0051,13526,24500,14.63,5,3586,0,0,55.26
0052,467162,2551500,19.15,153,489026,16.96,63,36.72
0053,5857,5488,26.54,2,1457,18.89,1,45.49
0055,12121,89654,45.87,17,41135,38.16,4,25.82
0056,1573217,13587034,12.41,679,1689537,10.15,147,25.73
0057,2974,1527,0,0,0,0,0,28.35
0061,6244,99116,32.64,22,32369,23.14,6,15.6
006201,3324,19946,48.28,7,9633,34.92,2,29.3
006203,1178,10218,77.01,5,7871,56.22,2,9.06
006204,1133,1500,0,0,0,0,0,45.5
006205,9117,97439,45.99,28,44830,34.07,8,17.57
006206,3298,28278,19.81,4,5607,14.27,2,25.18
006207,1585,21392,17.66,6,3781,5.38,1,16.92
006208,694490,1829040,10.94,61,200253,10.29,40,51.79
00631L,300823,6028848,28.91,1252,1744080,19.54,285,11.15
00632R,62889,2367708,43.39,782,1027877,28.27,202,5.2
00633L,3512,115458,33.42,32,38615,22.79,12,6.76
00634R,800,47256,55.07,14,26037,44.35,7,3.62
00635U,56433,292014,19.26,30,56283,16.2,15,33.93
00636,8434,101825,23.8,21,24259,16.19,7,19.18
00637L,11513,742106,57.52,276,427015,41.89,90,3.47
00638R,546,26948,54.78,11,14768,35.81,2,4.8
00639,5826,101403,27.86,25,28265,17.41,9,12.93
00640L,1390,7419,21.1,2,1567,14.84,1,27.09
00641R,1315,74758,51.32,28,38377,38.93,13,3.64
00642U,11259,110321,40.71,20,44940,34.28,8,21.06
00643,3300,75073,39.23,19,29469,26.5,5,11.41
00645,10102,43997,23.84,9,10495,15.4,3,36.72
00646,107219,560485,40.91,65,229396,36.58,26,26.04
00647L,1644,6416,25.31,1,1624,25.31,1,29.56
00648R,2395,143688,47.23,39,67891,36.43,14,3.48
00650L,2806,131338,44.18,59,58049,28.2,22,4.55
00651R,406,32192,69.69,16,22443,49.8,6,2.84
00652,9953,67035,31.55,15,21159,25.72,7,27.95
00653L,1381,15903,14.49,2,2306,10.54,1,18.58
00654R,389,19466,51.1,8,9950,33.81,2,4.51
00655L,2183,59458,31.93,21,19001,15.94,4,8.38
00656R,333,20357,71.89,12,14641,47.05,4,3.26
00657,1662,6584,22.2,2,1462,15.77,1,37.48
00660,1079,7531,32.27,4,2431,0,0,17.86
00661,7171,23425,18.07,5,4235,5.54,1,41.37
00662,102126,833029,39.48,83,329039,36.0,31,15.52
