stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,137162,1932640,15.65,211,303016,10.75,51,19.2
00401A,17296,230395,24.8,27,57166,21.42,14,21.85
00402A,50767,740127,17.81,109,132004,10.45,18,21.25
00403A,1022567,16848019,15.58,1928,2628388,9.95,358,17.17
00404A,23957,364295,24.16,34,88084,21.03,14,20.86
00405A,161463,3300245,17.51,440,578385,11.16,102,13.67
00406A,55126,1148062,18.23,212,209391,9.71,44,14.05
00407A,162266,3011739,18.57,425,559884,11.76,88,15.39
00408A,8625,167634,30.56,39,51262,18.8,11,15.7
0050,3447355,21604500,26.69,893,5769622,25.05,263,26.5
0051,13643,24500,13.19,5,3233,0,0,56.15
0052,471546,2629000,19.55,159,514514,17.44,68,36.17
0053,6399,5488,19.07,1,1047,19.07,1,49.72
0055,12197,89654,46.9,19,42055,38.76,6,25.7
0056,1649737,14203034,12.02,709,1711681,9.76,151,25.7
0057,3066,1527,0,0,0,0,0,29.73
0061,6121,97116,33.37,23,32439,22.46,5,15.6
006201,3403,21446,49.6,7,10641,34.3,2,28.81
006203,2854,10218,77.07,5,7877,51.62,1,9.62
006204,1149,1500,0,0,0,0,0,46.01
006205,8994,94939,45.03,27,42778,32.62,7,17.78
006206,3192,27278,20.04,4,5470,10.97,1,25.17
006207,1579,20892,15.83,5,3312,0,0,17.03
006208,711711,1843540,10.16,59,187640,9.43,37,52.27
00631L,335792,7420848,29.91,1442,2221599,20.98,317,10.3
00632R,61118,2340208,43.55,769,1019539,28.71,207,5.09
00633L,3554,118458,36.46,38,43225,23.8,14,6.64
00634R,789,47256,55.37,17,26177,38.07,6,3.58
00635U,57968,305514,18.91,30,57821,15.86,15,33.97
00636,8289,97825,23.09,20,22604,15.74,7,19.49
00637L,11325,733606,58.06,269,426142,43.54,94,3.5
00638R,531,24448,53.2,9,13013,35.71,2,5.05
00639,5740,97403,26.03,22,25356,16.77,8,13.26
00640L,1289,6919,24.03,2,1663,17.31,1,26.74
00641R,1345,80758,49.76,31,40198,37.35,15,3.48
00642U,10387,98321,39.85,17,39192,34.23,8,21.33
00643,3222,73003,39.32,21,28722,24.81,5,11.54
00645,9967,43497,23.17,9,10083,14.57,3,36.66
00646,108440,572485,40.54,65,232160,35.95,24,25.77
00647L,1523,6416,29.61,1,1900,29.61,1,27.75
00648R,2428,140688,44.32,39,62379,32.17,12,3.65
00650L,2462,116838,49.56,46,57921,36.82,20,4.42
00651R,418,32192,66.44,15,21393,47.68,6,2.85
00652,9646,64535,31.86,15,20576,25.87,7,28.01
00653L,1310,14403,12.41,2,1790,8.05,1,19.75
00654R,383,19466,53.11,9,10341,33.48,2,4.38
00655L,2151,57958,29.96,19,17378,14.84,4,8.34
00656R,328,20357,72.42,13,14746,44.52,4,3.27
00657,1660,6584,17.63,1,1161,17.63,1,37.43
00660,1048,7531,32.85,4,2474,0,0,17.29
00661,7321,23425,17.94,5,4207,7.05,1,42.43
00662,107239,870529,36.99,92,322157,32.89,28,15.66
00663L,16937,158163,22.9,22,36261,19.03,12,21.74
00664R,7009,755575,58.69,365,443587,38.26,121,1.72
