stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
00400A,121843,1509640,15.4,135,232824,11.53,39,22.35
00401A,18253,249395,23.98,27,59859,20.9,13,21.58
00402A,56364,930627,21.96,143,204521,14.08,26,19.37
00403A,1098201,17231019,14.61,2084,2521474,8.51,367,18.35
00404A,18185,264795,15.73,34,41691,10.03,8,22.31
00405A,122319,1943245,17.42,322,338754,9.12,57,18.85
00406A,32764,649062,17.45,111,113414,8.94,18,16.63
0050,3172924,20138000,27.68,835,5576049,26.01,246,26.21
0051,12987,24500,14.77,5,3622,0,0,55.31
0052,468245,2548000,18.61,153,474883,16.43,62,36.96
0053,5551,4988,20.87,1,1041,20.87,1,48.12
0055,11529,84154,44.7,16,37624,37.02,4,26.42
0056,1567728,13564534,12.4,670,1685792,10.18,148,25.77
0057,3004,1527,0,0,0,0,0,27.65
0061,6366,100616,32.28,23,32496,22.26,6,15.69
006201,3375,20446,48.02,7,9820,34.56,2,29.8
006203,1173,10218,77.0,5,7869,54.43,2,9.0
006204,1132,1500,0,0,0,0,0,46.27
006205,9308,97439,44.66,28,43539,32.67,8,18.09
006206,3350,28778,18.85,4,5431,10.6,1,25.07
006207,1583,21392,16.53,6,3537,0,0,16.9
006208,693388,1829040,10.79,61,197651,10.05,38,51.83
00631L,281070,5683848,29.22,1179,1662203,19.78,271,11.26
00632R,62150,2350708,44.13,738,1037860,30.01,194,5.19
00633L,3718,118458,32.66,35,38709,20.52,11,7.03
00634R,806,47256,55.19,14,26095,44.49,7,3.58
00635U,55719,284014,19.6,27,55687,17.08,16,34.01
00636,8602,103825,24.83,24,25795,16.44,8,19.22
00637L,12206,763106,55.79,293,425940,39.9,96,3.58
00638R,546,26948,52.92,11,14267,34.19,2,4.74
00639,5956,105903,29.33,29,31077,17.75,10,12.67
00640L,1456,7419,17.76,2,1318,0,0,28.56
00641R,1312,74758,50.16,27,37520,37.9,12,3.64
00642U,11103,108821,40.7,23,44307,32.27,8,20.4
00643,3415,78073,38.98,22,30443,24.35,5,11.36
00645,10262,45497,25.31,9,11525,16.84,3,36.24
00646,106203,562485,41.53,67,233764,37.4,28,25.75
00647L,1653,6416,27.0,1,1732,27.0,1,28.84
00648R,2416,146688,48.33,39,70928,37.28,13,3.49
00650L,2722,127838,47.13,55,60267,32.23,20,4.64
00651R,404,32192,67.45,16,21724,45.0,5,2.53
00652,10177,67535,30.03,14,20283,24.71,7,28.61
00653L,1452,16903,17.02,2,2878,13.3,1,19.03
00654R,398,19466,50.55,8,9844,33.27,2,4.56
00655L,2287,59458,29.6,22,17603,12.67,4,8.74
00656R,337,20357,70.95,12,14448,46.28,4,3.37
00657,1679,6584,21.14,2,1392,0,0,38.21
00660,1104,7531,30.39,4,2289,0,0,18.13
